id,pred
2017_1116_1413,0.8734
2017_1116_1417,0.5000
2017_1116_1423,0.5000
2017_1116_1425,0.3653
2017_1116_1433,0.6216
2017_1116_1435,0.5657
2017_1116_1436,0.5000
2017_1116_1437,0.5000
2017_1116_1438,0.5000
2017_1116_1439,0.5000
2017_1116_1448,0.4965
2017_1116_1452,0.5064
2017_1116_1455,0.5000
2017_1116_1457,0.4684
2017_1116_1458,0.4266
2017_1116_1462,0.5000
2017_1124_1137,0.5000
2017_1124_1139,0.5000
2017_1124_1153,0.5000
2017_1124_1166,0.4966
2017_1124_1173,0.5786
2017_1124_1181,0.6629
2017_1124_1190,0.5000
2017_1124_1195,0.8585
2017_1124_1196,0.5000
2017_1124_1199,0.5558
2017_1124_1211,0.3583
2017_1124_1233,0.4127
2017_1124_1235,0.5106
2017_1124_1240,0.5000
2017_1124_1242,0.2981
2017_1124_1243,0.4608
2017_1124_1245,0.5000
2017_1124_1246,0.5470
2017_1124_1257,0.4336
2017_1124_1266,0.5000
2017_1124_1268,0.5000
2017_1124_1274,0.5000
2017_1124_1276,0.5000
2017_1124_1277,0.3860
2017_1124_1278,0.5000
2017_1124_1291,0.8553
2017_1124_1292,0.5000
2017_1124_1297,0.5000
2017_1124_1300,0.5000
2017_1124_1305,0.5000
2017_1124_1308,0.6253
2017_1124_1309,0.5000
2017_1124_1314,0.5000
2017_1124_1315,0.5000
2017_1124_1321,0.4988
2017_1124_1323,0.3139
2017_1124_1329,0.5709
2017_1124_1332,0.4847
2017_1124_1343,0.5000
2017_1124_1344,0.3591
2017_1124_1345,0.4675
2017_1124_1348,0.5000
2017_1124_1355,0.8297
2017_1124_1371,0.5000
2017_1124_1374,0.3657
2017_1124_1376,0.5969
2017_1124_1388,0.6120
2017_1124_1407,0.5000
2017_1124_1411,0.7059
2017_1124_1413,0.5000
2017_1124_1417,0.5000
2017_1124_1423,0.5000
2017_1124_1425,0.5000
2017_1124_1433,0.5165
2017_1124_1435,0.6036
2017_1124_1436,0.5000
2017_1124_1437,0.5000
2017_1124_1438,0.5000
2017_1124_1439,0.5000
2017_1124_1448,0.6293
2017_1124_1452,0.4951
2017_1124_1455,0.3747
2017_1124_1457,0.4090
2017_1124_1458,0.5024
2017_1124_1462,0.6518
2017_1137_1139,0.3619
2017_1137_1153,0.5000
2017_1137_1166,0.5000
2017_1137_1173,0.5000
2017_1137_1181,0.6854
2017_1137_1190,0.5000
2017_1137_1195,0.5000
2017_1137_1196,0.5000
2017_1137_1199,0.5000
2017_1137_1211,0.5000
2017_1137_1233,0.5000
2017_1137_1235,0.5727
2017_1137_1240,0.5000
2017_1137_1242,0.3096
2017_1137_1243,0.5000
2017_1137_1245,0.6204
2017_1137_1246,0.5000
2017_1137_1257,0.5000
2017_1137_1266,0.6147
2017_1137_1268,0.6832
2017_1137_1274,0.5000
2017_1137_1276,0.4761
2017_1137_1277,0.6693
2017_1137_1278,0.5944
2017_1137_1291,0.4466
2017_1137_1292,0.5000
2017_1137_1297,0.5000
2017_1137_1300,0.5000
2017_1137_1305,0.5000
2017_1137_1308,0.5152
2017_1137_1309,0.5000
2017_1137_1314,0.5000
2017_1137_1315,0.5000
2017_1137_1321,0.6259
2017_1137_1323,0.4600
2017_1137_1329,0.5000
2017_1137_1332,0.5000
2017_1137_1343,0.3416
2017_1137_1344,0.6307
2017_1137_1345,0.4484
2017_1137_1348,0.5000
2017_1137_1355,0.5000
2017_1137_1371,0.5000
2017_1137_1374,0.5000
2017_1137_1376,0.5000
2017_1137_1388,0.5000
2017_1137_1407,0.5000
2017_1137_1411,0.5000
2017_1137_1413,0.5000
2017_1137_1417,0.5000
2017_1137_1423,0.5000
2017_1137_1425,0.5000
2017_1137_1433,0.5000
2017_1137_1435,0.4451
2017_1137_1436,0.5000
2017_1137_1437,0.3284
2017_1137_1438,0.5000
2017_1137_1439,0.5000
2017_1137_1448,0.3127
2017_1137_1452,0.5000
2017_1137_1455,0.5000
2017_1137_1457,0.5000
2017_1137_1458,0.5616
2017_1137_1462,0.3679
2017_1139_1153,0.6010
2017_1139_1166,0.4168
2017_1139_1173,0.6197
2017_1139_1181,0.3717
2017_1139_1190,0.5000
2017_1139_1195,0.8028
2017_1139_1196,0.4356
2017_1139_1199,0.6227
2017_1139_1211,0.5258
2017_1139_1233,0.5000
2017_1139_1235,0.5000
2017_1139_1240,0.5000
2017_1139_1242,0.5000
2017_1139_1243,0.5049
2017_1139_1245,0.4657
2017_1139_1246,0.5000
2017_1139_1257,0.4529
2017_1139_1266,0.5912
2017_1139_1268,0.3608
2017_1139_1274,0.5036
2017_1139_1276,0.4546
2017_1139_1277,0.4556
2017_1139_1278,0.4917
2017_1139_1291,0.5000
2017_1139_1292,0.5000
2017_1139_1297,0.5000
2017_1139_1300,0.5000
2017_1139_1305,0.5000
2017_1139_1308,0.5000
2017_1139_1309,0.8311
2017_1139_1314,0.5519
2017_1139_1315,0.8517
2017_1139_1321,0.6886
2017_1139_1323,0.5599
2017_1139_1329,0.4926
2017_1139_1332,0.5000
2017_1139_1343,0.7421
2017_1139_1344,0.4237
2017_1139_1345,0.6795
2017_1139_1348,0.5743
2017_1139_1355,0.7955
2017_1139_1371,0.5707
2017_1139_1374,0.5000
2017_1139_1376,0.5000
2017_1139_1388,0.5000
2017_1139_1407,0.5000
2017_1139_1411,0.5000
2017_1139_1413,0.5000
2017_1139_1417,0.4728
2017_1139_1423,0.4457
2017_1139_1425,0.5000
2017_1139_1433,0.5398
2017_1139_1435,0.6401
2017_1139_1436,0.5502
2017_1139_1437,0.5110
2017_1139_1438,0.4307
2017_1139_1439,0.5347
2017_1139_1448,0.5000
2017_1139_1452,0.5000
2017_1139_1455,0.5000
2017_1139_1457,0.5000
2017_1139_1458,0.5122
2017_1139_1462,0.4704
2017_1153_1166,0.4178
2017_1153_1173,0.5891
2017_1153_1181,0.5000
2017_1153_1190,0.6365
2017_1153_1195,0.5000
2017_1153_1196,0.5000
2017_1153_1199,0.4986
2017_1153_1211,0.4152
2017_1153_1233,0.5000
2017_1153_1235,0.5479
2017_1153_1240,0.7643
2017_1153_1242,0.5000
2017_1153_1243,0.5000
2017_1153_1245,0.5000
2017_1153_1246,0.4090
2017_1153_1257,0.4274
2017_1153_1266,0.6147
2017_1153_1268,0.4437
2017_1153_1274,0.5000
2017_1153_1276,0.5000
2017_1153_1277,0.5000
2017_1153_1278,0.5000
2017_1153_1291,0.7875
2017_1153_1292,0.7003
2017_1153_1297,0.5000
2017_1153_1300,0.8296
2017_1153_1305,0.5000
2017_1153_1308,0.5000
2017_1153_1309,0.5000
2017_1153_1314,0.5000
2017_1153_1315,0.5000
2017_1153_1321,0.5000
2017_1153_1323,0.4187
2017_1153_1329,0.5376
2017_1153_1332,0.6584
2017_1153_1343,0.5000
2017_1153_1344,0.5360
2017_1153_1345,0.6386
2017_1153_1348,0.3008
2017_1153_1355,0.5000
2017_1153_1371,0.5695
2017_1153_1374,0.4419
2017_1153_1376,0.5000
2017_1153_1388,0.5000
2017_1153_1407,0.5000
2017_1153_1411,0.7105
2017_1153_1413,0.5000
2017_1153_1417,0.5000
2017_1153_1423,0.5000
2017_1153_1425,0.5000
2017_1153_1433,0.4892
2017_1153_1435,0.6572
2017_1153_1436,0.5000
2017_1153_1437,0.5553
2017_1153_1438,0.5000
2017_1153_1439,0.5000
2017_1153_1448,0.3593
2017_1153_1452,0.4071
2017_1153_1455,0.5000
2017_1153_1457,0.6557
2017_1153_1458,0.5000
2017_1153_1462,0.4301
2017_1166_1173,0.5116
2017_1166_1181,0.5377
2017_1166_1190,0.5000
2017_1166_1195,0.5000
2017_1166_1196,0.5000
2017_1166_1199,0.5000
2017_1166_1211,0.5000
2017_1166_1233,0.4792
2017_1166_1235,0.3736
2017_1166_1240,0.5000
2017_1166_1242,0.5000
2017_1166_1243,0.5000
2017_1166_1245,0.3088
2017_1166_1246,0.5000
2017_1166_1257,0.5000
2017_1166_1266,0.4108
2017_1166_1268,0.5000
2017_1166_1274,0.5000
2017_1166_1276,0.3747
2017_1166_1277,0.5000
2017_1166_1278,0.5000
2017_1166_1291,0.5000
2017_1166_1292,0.7547
2017_1166_1297,0.5000
2017_1166_1300,0.8274
2017_1166_1305,0.4805
2017_1166_1308,0.5000
2017_1166_1309,0.5000
2017_1166_1314,0.6233
2017_1166_1315,0.5000
2017_1166_1321,0.5129
2017_1166_1323,0.3929
2017_1166_1329,0.5000
2017_1166_1332,0.5000
2017_1166_1343,0.5000
2017_1166_1344,0.5244
2017_1166_1345,0.5000
2017_1166_1348,0.5000
2017_1166_1355,0.5000
2017_1166_1371,0.4482
2017_1166_1374,0.5000
2017_1166_1376,0.5000
2017_1166_1388,0.3181
2017_1166_1407,0.5000
2017_1166_1411,0.7725
2017_1166_1413,0.5000
2017_1166_1417,0.5000
2017_1166_1423,0.5000
2017_1166_1425,0.5000
2017_1166_1433,0.5000
2017_1166_1435,0.5000
2017_1166_1436,0.5000
2017_1166_1437,0.3344
2017_1166_1438,0.5000
2017_1166_1439,0.5000
2017_1166_1448,0.5000
2017_1166_1452,0.3463
2017_1166_1455,0.5682
2017_1166_1457,0.5000
2017_1166_1458,0.6437
2017_1166_1462,0.5061
2017_1173_1181,0.4268
2017_1173_1190,0.5508
2017_1173_1195,0.5000
2017_1173_1196,0.5869
2017_1173_1199,0.5000
2017_1173_1211,0.4267
2017_1173_1233,0.4753
2017_1173_1235,0.5000
2017_1173_1240,0.5000
2017_1173_1242,0.6568
2017_1173_1243,0.4737
2017_1173_1245,0.5000
2017_1173_1246,0.5000
2017_1173_1257,0.5579
2017_1173_1266,0.6135
2017_1173_1268,0.5000
2017_1173_1274,0.5000
2017_1173_1276,0.5000
2017_1173_1277,0.5000
2017_1173_1278,0.4584
2017_1173_1291,0.6693
2017_1173_1292,0.5000
2017_1173_1297,0.5000
2017_1173_1300,0.5000
2017_1173_1305,0.5000
2017_1173_1308,0.5000
2017_1173_1309,0.5000
2017_1173_1314,0.6661
2017_1173_1315,0.5000
2017_1173_1321,0.3747
2017_1173_1323,0.5000
2017_1173_1329,0.5000
2017_1173_1332,0.5000
2017_1173_1343,0.5000
2017_1173_1344,0.5209
2017_1173_1345,0.5000
2017_1173_1348,0.5679
2017_1173_1355,0.5000
2017_1173_1371,0.5008
2017_1173_1374,0.5001
2017_1173_1376,0.5000
2017_1173_1388,0.4208
2017_1173_1407,0.5506
2017_1173_1411,0.7395
2017_1173_1413,0.5000
2017_1173_1417,0.5000
2017_1173_1423,0.6743
2017_1173_1425,0.3624
2017_1173_1433,0.4558
2017_1173_1435,0.5612
2017_1173_1436,0.5000
2017_1173_1437,0.5364
2017_1173_1438,0.5000
2017_1173_1439,0.5000
2017_1173_1448,0.4850
2017_1173_1452,0.4276
2017_1173_1455,0.5000
2017_1173_1457,0.6920
2017_1173_1458,0.5000
2017_1173_1462,0.4013
2017_1181_1190,0.5000
2017_1181_1195,0.8906
2017_1181_1196,0.6382
2017_1181_1199,0.5339
2017_1181_1211,0.6789
2017_1181_1233,0.5000
2017_1181_1235,0.8263
2017_1181_1240,0.5000
2017_1181_1242,0.3888
2017_1181_1243,0.7597
2017_1181_1245,0.8114
2017_1181_1246,0.5252
2017_1181_1257,0.5159
2017_1181_1266,0.5861
2017_1181_1268,0.5143
2017_1181_1274,0.4795
2017_1181_1276,0.6915
2017_1181_1277,0.6964
2017_1181_1278,0.7001
2017_1181_1291,0.5000
2017_1181_1292,0.5000
2017_1181_1297,0.5000
2017_1181_1300,0.8700
2017_1181_1305,0.5000
2017_1181_1308,0.8377
2017_1181_1309,0.5000
2017_1181_1314,0.5291
2017_1181_1315,0.5000
2017_1181_1321,0.5000
2017_1181_1323,0.5571
2017_1181_1329,0.5000
2017_1181_1332,0.4657
2017_1181_1343,0.7508
2017_1181_1344,0.5000
2017_1181_1345,0.5882
2017_1181_1348,0.7654
2017_1181_1355,0.5000
2017_1181_1371,0.7877
2017_1181_1374,0.5000
2017_1181_1376,0.5000
2017_1181_1388,0.5000
2017_1181_1407,0.5000
2017_1181_1411,0.5000
2017_1181_1413,0.5000
2017_1181_1417,0.7289
2017_1181_1423,0.8146
2017_1181_1425,0.5000
2017_1181_1433,0.5857
2017_1181_1435,0.5000
2017_1181_1436,0.7601
2017_1181_1437,0.2675
2017_1181_1438,0.6779
2017_1181_1439,0.6197
2017_1181_1448,0.6964
2017_1181_1452,0.5113
2017_1181_1455,0.5000
2017_1181_1457,0.5000
2017_1181_1458,0.6215
2017_1181_1462,0.6827
2017_1190_1195,0.4818
2017_1190_1196,0.5000
2017_1190_1199,0.5000
2017_1190_1211,0.5000
2017_1190_1233,0.5000
2017_1190_1235,0.5000
2017_1190_1240,0.5000
2017_1190_1242,0.5000
2017_1190_1243,0.5000
2017_1190_1245,0.5000
2017_1190_1246,0.4187
2017_1190_1257,0.6224
2017_1190_1266,0.5000
2017_1190_1268,0.5000
2017_1190_1274,0.5000
2017_1190_1276,0.5000
2017_1190_1277,0.5000
2017_1190_1278,0.5000
2017_1190_1291,0.5000
2017_1190_1292,0.5000
2017_1190_1297,0.6602
2017_1190_1300,0.7836
2017_1190_1305,0.5000
2017_1190_1308,0.5000
2017_1190_1309,0.5000
2017_1190_1314,0.6781
2017_1190_1315,0.5000
2017_1190_1321,0.5000
2017_1190_1323,0.5000
2017_1190_1329,0.5552
2017_1190_1332,0.5000
2017_1190_1343,0.5000
2017_1190_1344,0.5000
2017_1190_1345,0.5000
2017_1190_1348,0.5000
2017_1190_1355,0.7529
2017_1190_1371,0.5000
2017_1190_1374,0.5000
2017_1190_1376,0.3512
2017_1190_1388,0.3967
2017_1190_1407,0.5178
2017_1190_1411,0.5000
2017_1190_1413,0.5000
2017_1190_1417,0.5000
2017_1190_1423,0.3897
2017_1190_1425,0.5000
2017_1190_1433,0.4153
2017_1190_1435,0.4018
2017_1190_1436,0.5000
2017_1190_1437,0.6161
2017_1190_1438,0.6207
2017_1190_1439,0.3712
2017_1190_1448,0.5380
2017_1190_1452,0.5000
2017_1190_1455,0.5000
2017_1190_1457,0.5056
2017_1190_1458,0.5000
2017_1190_1462,0.5000
2017_1195_1196,0.3773
2017_1195_1199,0.5000
2017_1195_1211,0.5000
2017_1195_1233,0.4998
2017_1195_1235,0.6875
2017_1195_1240,0.5000
2017_1195_1242,0.7433
2017_1195_1243,0.5000
2017_1195_1245,0.5000
2017_1195_1246,0.5000
2017_1195_1257,0.5000
2017_1195_1266,0.6840
2017_1195_1268,0.7323
2017_1195_1274,0.4044
2017_1195_1276,0.6954
2017_1195_1277,0.5052
2017_1195_1278,0.5000
2017_1195_1291,0.5000
2017_1195_1292,0.5000
2017_1195_1297,0.7556
2017_1195_1300,0.6879
2017_1195_1305,0.5000
2017_1195_1308,0.5000
2017_1195_1309,0.5000
2017_1195_1314,0.7239
2017_1195_1315,0.7930
2017_1195_1321,0.5000
2017_1195_1323,0.5000
2017_1195_1329,0.5000
2017_1195_1332,0.5000
2017_1195_1343,0.5000
2017_1195_1344,0.5000
2017_1195_1345,0.5000
2017_1195_1348,0.5000
2017_1195_1355,0.5395
2017_1195_1371,0.5000
2017_1195_1374,0.5114
2017_1195_1376,0.5000
2017_1195_1388,0.5000
2017_1195_1407,0.5000
2017_1195_1411,0.5000
2017_1195_1413,0.5000
2017_1195_1417,0.5000
2017_1195_1423,0.5000
2017_1195_1425,0.5000
2017_1195_1433,0.6951
2017_1195_1435,0.5000
2017_1195_1436,0.5000
2017_1195_1437,0.5000
2017_1195_1438,0.5000
2017_1195_1439,0.5000
2017_1195_1448,0.5000
2017_1195_1452,0.5000
2017_1195_1455,0.5000
2017_1195_1457,0.5000
2017_1195_1458,0.5000
2017_1195_1462,0.7031
2017_1196_1199,0.4267
2017_1196_1211,0.4289
2017_1196_1233,0.5000
2017_1196_1235,0.5000
2017_1196_1240,0.5000
2017_1196_1242,0.5248
2017_1196_1243,0.4824
2017_1196_1245,0.7423
2017_1196_1246,0.4611
2017_1196_1257,0.3357
2017_1196_1266,0.6671
2017_1196_1268,0.5498
2017_1196_1274,0.4924
2017_1196_1276,0.2388
2017_1196_1277,0.4545
2017_1196_1278,0.7333
2017_1196_1291,0.5000
2017_1196_1292,0.7610
2017_1196_1297,0.5000
2017_1196_1300,0.8717
2017_1196_1305,0.5000
2017_1196_1308,0.5000
2017_1196_1309,0.8077
2017_1196_1314,0.5048
2017_1196_1315,0.5000
2017_1196_1321,0.5000
2017_1196_1323,0.5000
2017_1196_1329,0.6676
2017_1196_1332,0.7585
2017_1196_1343,0.5000
2017_1196_1344,0.7099
2017_1196_1345,0.4835
2017_1196_1348,0.7671
2017_1196_1355,0.5000
2017_1196_1371,0.7814
2017_1196_1374,0.5000
2017_1196_1376,0.5451
2017_1196_1388,0.5000
2017_1196_1407,0.7829
2017_1196_1411,0.8250
2017_1196_1413,0.5000
2017_1196_1417,0.7056
2017_1196_1423,0.8257
2017_1196_1425,0.5000
2017_1196_1433,0.5000
2017_1196_1435,0.3719
2017_1196_1436,0.7004
2017_1196_1437,0.5172
2017_1196_1438,0.8160
2017_1196_1439,0.5000
2017_1196_1448,0.6879
2017_1196_1452,0.5727
2017_1196_1455,0.5000
2017_1196_1457,0.8134
2017_1196_1458,0.4939
2017_1196_1462,0.4875
2017_1199_1211,0.5654
2017_1199_1233,0.6125
2017_1199_1235,0.5000
2017_1199_1240,0.7719
2017_1199_1242,0.5000
2017_1199_1243,0.5000
2017_1199_1245,0.4561
2017_1199_1246,0.5000
2017_1199_1257,0.4437
2017_1199_1266,0.5331
2017_1199_1268,0.5610
2017_1199_1274,0.5595
2017_1199_1276,0.3966
2017_1199_1277,0.5031
2017_1199_1278,0.5211
2017_1199_1291,0.5000
2017_1199_1292,0.5000
2017_1199_1297,0.5000
2017_1199_1300,0.5000
2017_1199_1305,0.5000
2017_1199_1308,0.5000
2017_1199_1309,0.6526
2017_1199_1314,0.3266
2017_1199_1315,0.5000
2017_1199_1321,0.4731
2017_1199_1323,0.4776
2017_1199_1329,0.5000
2017_1199_1332,0.5000
2017_1199_1343,0.1975
2017_1199_1344,0.4301
2017_1199_1345,0.5917
2017_1199_1348,0.5000
2017_1199_1355,0.5000
2017_1199_1371,0.5000
2017_1199_1374,0.6208
2017_1199_1376,0.5000
2017_1199_1388,0.5000
2017_1199_1407,0.5000
2017_1199_1411,0.6667
2017_1199_1413,0.5000
2017_1199_1417,0.5000
2017_1199_1423,0.5000
2017_1199_1425,0.5000
2017_1199_1433,0.5621
2017_1199_1435,0.5000
2017_1199_1436,0.5000
2017_1199_1437,0.5000
2017_1199_1438,0.5685
2017_1199_1439,0.5774
2017_1199_1448,0.6885
2017_1199_1452,0.5000
2017_1199_1455,0.5000
2017_1199_1457,0.7567
2017_1199_1458,0.3975
2017_1199_1462,0.5000
2017_1211_1233,0.5000
2017_1211_1235,0.6369
2017_1211_1240,0.5000
2017_1211_1242,0.5000
2017_1211_1243,0.4504
2017_1211_1245,0.5000
2017_1211_1246,0.2192
2017_1211_1257,0.5000
2017_1211_1266,0.6384
2017_1211_1268,0.6526
2017_1211_1274,0.5000
2017_1211_1276,0.5000
2017_1211_1277,0.4330
2017_1211_1278,0.5000
2017_1211_1291,0.8292
2017_1211_1292,0.5000
2017_1211_1297,0.5000
2017_1211_1300,0.5000
2017_1211_1305,0.3113
2017_1211_1308,0.6782
2017_1211_1309,0.5000
2017_1211_1314,0.5480
2017_1211_1315,0.5000
2017_1211_1321,0.5000
2017_1211_1323,0.4781
2017_1211_1329,0.7023
2017_1211_1332,0.5000
2017_1211_1343,0.5000
2017_1211_1344,0.5000
2017_1211_1345,0.5000
2017_1211_1348,0.5000
2017_1211_1355,0.5000
2017_1211_1371,0.7063
2017_1211_1374,0.4598
2017_1211_1376,0.5000
2017_1211_1388,0.6441
2017_1211_1407,0.5000
2017_1211_1411,0.7578
2017_1211_1413,0.5000
2017_1211_1417,0.4944
2017_1211_1423,0.5000
2017_1211_1425,0.5000
2017_1211_1433,0.5000
2017_1211_1435,0.5000
2017_1211_1436,0.5000
2017_1211_1437,0.5000
2017_1211_1438,0.4573
2017_1211_1439,0.7319
2017_1211_1448,0.4891
2017_1211_1452,0.6772
2017_1211_1455,0.3228
2017_1211_1457,0.7611
2017_1211_1458,0.6978
2017_1211_1462,0.6718
2017_1233_1235,0.5068
2017_1233_1240,0.5000
2017_1233_1242,0.6510
2017_1233_1243,0.5000
2017_1233_1245,0.4603
2017_1233_1246,0.5485
2017_1233_1257,0.6002
2017_1233_1266,0.5000
2017_1233_1268,0.4248
2017_1233_1274,0.5000
2017_1233_1276,0.5000
2017_1233_1277,0.5000
2017_1233_1278,0.5000
2017_1233_1291,0.5000
2017_1233_1292,0.5000
2017_1233_1297,0.5000
2017_1233_1300,0.5000
2017_1233_1305,0.5058
2017_1233_1308,0.5000
2017_1233_1309,0.5000
2017_1233_1314,0.5725
2017_1233_1315,0.5000
2017_1233_1321,0.5000
2017_1233_1323,0.5000
2017_1233_1329,0.5000
2017_1233_1332,0.5000
2017_1233_1343,0.2334
2017_1233_1344,0.4816
2017_1233_1345,0.4830
2017_1233_1348,0.4051
2017_1233_1355,0.5000
2017_1233_1371,0.2631
2017_1233_1374,0.5000
2017_1233_1376,0.5000
2017_1233_1388,0.5000
2017_1233_1407,0.5000
2017_1233_1411,0.7312
2017_1233_1413,0.5000
2017_1233_1417,0.5000
2017_1233_1423,0.5000
2017_1233_1425,0.5000
2017_1233_1433,0.5147
2017_1233_1435,0.4996
2017_1233_1436,0.4878
2017_1233_1437,0.5000
2017_1233_1438,0.5000
2017_1233_1439,0.5000
2017_1233_1448,0.6386
2017_1233_1452,0.5000
2017_1233_1455,0.5000
2017_1233_1457,0.2915
2017_1233_1458,0.5044
2017_1233_1462,0.5000
2017_1235_1240,0.6725
2017_1235_1242,0.4943
2017_1235_1243,0.6271
2017_1235_1245,0.5000
2017_1235_1246,0.6380
2017_1235_1257,0.5000
2017_1235_1266,0.5000
2017_1235_1268,0.5028
2017_1235_1274,0.6581
2017_1235_1276,0.4915
2017_1235_1277,0.5000
2017_1235_1278,0.5424
2017_1235_1291,0.7784
2017_1235_1292,0.5000
2017_1235_1297,0.5000
2017_1235_1300,0.8604
2017_1235_1305,0.5000
2017_1235_1308,0.5000
2017_1235_1309,0.5000
2017_1235_1314,0.4221
2017_1235_1315,0.8309
2017_1235_1321,0.3061
2017_1235_1323,0.4320
2017_1235_1329,0.7125
2017_1235_1332,0.5000
2017_1235_1343,0.5000
2017_1235_1344,0.4406
2017_1235_1345,0.5640
2017_1235_1348,0.5000
2017_1235_1355,0.1428
2017_1235_1371,0.5000
2017_1235_1374,0.5000
2017_1235_1376,0.3847
2017_1235_1388,0.5000
2017_1235_1407,0.5000
2017_1235_1411,0.7001
2017_1235_1413,0.8433
2017_1235_1417,0.5000
2017_1235_1423,0.6869
2017_1235_1425,0.5000
2017_1235_1433,0.5000
2017_1235_1435,0.4262
2017_1235_1436,0.5000
2017_1235_1437,0.5000
2017_1235_1438,0.4911
2017_1235_1439,0.6571
2017_1235_1448,0.5000
2017_1235_1452,0.4795
2017_1235_1455,0.5000
2017_1235_1457,0.5000
2017_1235_1458,0.5000
2017_1235_1462,0.5591
2017_1240_1242,0.5000
2017_1240_1243,0.5000
2017_1240_1245,0.5000
2017_1240_1246,0.5000
2017_1240_1257,0.6791
2017_1240_1266,0.5000
2017_1240_1268,0.6726
2017_1240_1274,0.5000
2017_1240_1276,0.5000
2017_1240_1277,0.6118
2017_1240_1278,0.5000
2017_1240_1291,0.5000
2017_1240_1292,0.5000
2017_1240_1297,0.5000
2017_1240_1300,0.5000
2017_1240_1305,0.5000
2017_1240_1308,0.5000
2017_1240_1309,0.5021
2017_1240_1314,0.5000
2017_1240_1315,0.5000
2017_1240_1321,0.5000
2017_1240_1323,0.5000
2017_1240_1329,0.5000
2017_1240_1332,0.4220
2017_1240_1343,0.5000
2017_1240_1344,0.5000
2017_1240_1345,0.5000
2017_1240_1348,0.5000
2017_1240_1355,0.5000
2017_1240_1371,0.5000
2017_1240_1374,0.5000
2017_1240_1376,0.4118
2017_1240_1388,0.5000
2017_1240_1407,0.5899
2017_1240_1411,0.5000
2017_1240_1413,0.5000
2017_1240_1417,0.5000
2017_1240_1423,0.5000
2017_1240_1425,0.5000
2017_1240_1433,0.5000
2017_1240_1435,0.6078
2017_1240_1436,0.5000
2017_1240_1437,0.5000
2017_1240_1438,0.5000
2017_1240_1439,0.5707
2017_1240_1448,0.5000
2017_1240_1452,0.5000
